2020-05-05 15:30:36 INFO  DownloadEventsService:84 - Обрабатываю событие с id= c2886bbf-372a-45ef-8419-bbac56405361, тип REGISTER, статус WAITING
2020-05-05 15:30:36 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= c2886bbf-372a-45ef-8419-bbac56405361
2020-05-05 15:30:36 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = c2886bbf-372a-45ef-8419-bbac56405361
2020-05-05 15:30:36 INFO  DownloadEventsService:84 - Обрабатываю событие с id= bbb4e8e0-e016-4665-b341-f18bc5f91f9c, тип REGISTER, статус WAITING
2020-05-05 15:30:36 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= bbb4e8e0-e016-4665-b341-f18bc5f91f9c
2020-05-05 15:30:36 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = bbb4e8e0-e016-4665-b341-f18bc5f91f9c
2020-05-05 15:30:36 INFO  DownloadEventsService:84 - Обрабатываю событие с id= d1a976cc-2778-4d99-8f21-7def8cede091, тип REGISTER, статус WAITING
2020-05-05 15:30:36 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= d1a976cc-2778-4d99-8f21-7def8cede091
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = d1a976cc-2778-4d99-8f21-7def8cede091
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 9ee41fce-03f4-4c8f-bab4-28cc23ce0e7b, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 9ee41fce-03f4-4c8f-bab4-28cc23ce0e7b
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 9ee41fce-03f4-4c8f-bab4-28cc23ce0e7b
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 5e54cf39-9c25-4c5b-8cfb-9f158d949dbf, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 5e54cf39-9c25-4c5b-8cfb-9f158d949dbf
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 5e54cf39-9c25-4c5b-8cfb-9f158d949dbf
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= f1c467b4-710c-4d4b-89a5-e06092ec3736, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= f1c467b4-710c-4d4b-89a5-e06092ec3736
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = f1c467b4-710c-4d4b-89a5-e06092ec3736
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= d87edb18-247b-4755-836b-c7b948d8e547, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= d87edb18-247b-4755-836b-c7b948d8e547
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = d87edb18-247b-4755-836b-c7b948d8e547
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= b40437b5-61c4-4f5e-80f6-9687eb471903, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= b40437b5-61c4-4f5e-80f6-9687eb471903
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = b40437b5-61c4-4f5e-80f6-9687eb471903
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 960c7840-12c5-49cd-8561-0679c2b05149, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 960c7840-12c5-49cd-8561-0679c2b05149
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 960c7840-12c5-49cd-8561-0679c2b05149
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 07e2c53a-ef1e-4dac-8743-9c9d5d9fd769, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 07e2c53a-ef1e-4dac-8743-9c9d5d9fd769
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 07e2c53a-ef1e-4dac-8743-9c9d5d9fd769
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 67b41e76-b88d-4228-8236-7180e140ad8c, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 67b41e76-b88d-4228-8236-7180e140ad8c
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 67b41e76-b88d-4228-8236-7180e140ad8c
